id;X;Y;Z;dist1;dist2;dist3
255;1.840183;0;6.200193;15.63;11.44;24.06
256;1.840183;0;5.946722;15.6;11.4;24.06
257;1.840183;0;5.693252;15.58;11.37;24.06
258;1.840183;0;5.439782;15.56;11.34;24.06
259;1.840183;0;5.186312;15.54;11.32;24.06
260;1.840183;0;4.932842;15.53;11.3;24.06
261;1.840183;0;4.679371;15.52;11.29;24.06
262;1.840183;0;4.425901;15.51;11.28;24.06
263;1.840183;0;4.172431;15.51;11.28;24.06
264;1.840183;0;3.918961;15.51;11.28;24.06
265;1.840183;0;3.66549;15.52;11.29;24.06
266;1.840183;0;3.41202;15.53;11.31;24.06
267;1.840183;0;3.15855;15.55;11.33;24.06
268;1.840183;0;2.90508;15.57;11.36;24.06
269;1.840183;0;2.65161;15.59;11.39;24.06
270;1.840183;0;2.398139;15.62;11.43;24.06
271;1.840183;0;2.144669;15.65;11.47;24.06
272;1.840183;0;1.891199;15.69;11.52;24.06
273;1.840183;0;1.637729;15.73;11.57;24.06
274;1.840183;0;1.384259;15.77;11.63;24.06
275;1.840183;0;1.130788;15.82;11.7;24.06
276;1.840183;0;0.877318;15.87;11.76;24.06
277;1.840183;0;0.623848;15.92;11.84;24.06
278;1.840183;0;0.370378;15.98;11.92;24.06
279;2.089551;0;7.974484;15.7;11.63;23.81
280;2.089551;0;7.721014;15.65;11.55;23.81
281;2.089551;0;7.467544;15.59;11.48;23.81
282;2.089551;0;7.214073;15.54;11.41;23.81
283;2.089551;0;6.960603;15.5;11.35;23.81
284;2.089551;0;6.707133;15.46;11.29;23.81
285;2.089551;0;6.453663;15.42;11.24;23.81
286;2.089551;0;6.200193;15.38;11.2;23.81
287;2.089551;0;5.946722;15.35;11.16;23.81
288;2.089551;0;5.693252;15.33;11.12;23.81
289;2.089551;0;5.439782;15.31;11.09;23.81
290;2.089551;0;5.186312;15.29;11.07;23.81
291;2.089551;0;4.932842;15.28;11.05;23.81
292;2.089551;0;4.679371;15.27;11.04;23.81
293;2.089551;0;4.425901;15.26;11.03;23.81
294;2.089551;0;4.172431;15.26;11.03;23.81
295;2.089551;0;3.918961;15.27;11.04;23.81
296;2.089551;0;3.66549;15.27;11.05;23.81
297;2.089551;0;3.41202;15.28;11.06;23.81
298;2.089551;0;3.15855;15.3;11.08;23.81
299;2.089551;0;2.90508;15.32;11.11;23.81
300;2.089551;0;2.65161;15.34;11.14;23.81
301;2.089551;0;2.398139;15.37;11.18;23.81
302;2.089551;0;2.144669;15.4;11.23;23.81
303;2.089551;0;1.891199;15.44;11.28;23.81
304;2.089551;0;1.637729;15.48;11.33;23.81
