timestamp;id;gender;age;group
515;1207;0;2;3
516;1708;1;1;3
516;482;0;1;4
516;1208;0;2;3
517;1707;1;1;3
517;481;0;1;4
518;1745;1;1;3
518;480;0;1;4
519;1784;1;1;3
519;479;0;1;4
520;1783;1;1;3
520;439;0;1;4
521;1821;1;1;3
521;438;0;1;4
522;1820;1;1;3
522;436;0;1;4
523;1819;1;1;3
523;436;0;1;4
524;1858;1;1;3
524;435;0;1;4
525;1857;1;1;3
525;474;0;1;4
526;1855;1;1;3
526;473;0;1;4
527;1854;1;1;3
527;511;0;1;4
528;1853;1;1;3
528;550;0;1;4
529;1814;1;1;3
529;550;0;1;4
530;1775;1;1;3
530;588;0;1;4
531;1736;1;1;3
531;627;0;1;4
532;1698;1;1;3
532;666;0;1;4
533;1699;1;1;3
533;705;0;1;4
534;1661;1;1;3
534;744;0;1;4
535;1661;1;1;3
535;744;0;1;4
536;1623;1;1;3
536;822;0;1;4
537;1624;1;1;3
537;861;0;1;4
538;1625;1;1;3
538;900;0;1;4
539;1587;1;1;3
539;900;0;1;4
540;1588;1;1;3
540;939;0;1;4
541;1549;1;1;3
541;978;0;1;4
542;1549;1;1;3
542;1017;0;1;4
543;1511;1;1;3
543;1056;0;1;4
544;1511;1;1;3
544;1095;0;1;4
545;1472;1;1;3
545;1134;0;1;4
545;1637;1;0;5
546;1432;1;1;3
546;1173;0;1;4
546;1636;1;0;5
547;1432;1;1;3
547;1212;0;1;4
547;1635;1;0;5
548;1392;1;1;3
548;1290;0;1;4
548;1673;1;0;5
549;1391;1;1;3
549;1330;0;1;4
549;1672;1;0;5
550;1351;1;1;3
550;1370;0;1;4
550;1672;1;0;5
551;1350;1;1;3
551;1371;0;1;4
551;1710;1;0;5
552;1312;1;1;3
552;1371;0;1;4
552;1708;1;0;5
553;1312;1;1;3
553;1372;0;1;4
553;1746;1;0;5
554;1313;1;1;3
554;1334;0;1;4
554;1746;1;0;5
555;1314;1;1;3
555;1334;0;1;4
555;1744;1;0;5
556;1276;1;1;3
556;1296;0;1;4
556;1783;1;0;5
557;1276;1;1;3
557;1218;0;1;4
557;1782;1;0;5
558;1277;1;1;3
558;1179;0;1;4
558;1819;1;0;5
559;1278;1;1;3
559;1218;0;1;4
559;1818;1;0;5
560;1240;1;1;3
560;1256;0;1;4
560;1818;1;0;5
561;1241;1;1;3
561;1256;0;1;4
561;1817;1;0;5
562;1241;1;1;3
562;1294;0;1;4
562;1777;1;0;5
563;1203;1;1;3
563;1293;0;1;4
563;1738;1;0;5
564;1204;1;1;3
564;1331;0;1;4
564;1737;1;0;5
565;1205;1;1;3
565;1330;0;1;4
565;1697;1;0;5
566;1206;1;1;3
566;1371;0;1;4
566;1658;1;0;5
567;1208;1;1;3
567;1373;0;1;4
567;1618;1;0;5
568;1374;0;1;4
568;1617;1;0;5
569;1375;0;1;4
569;1616;1;0;5
570;1375;0;1;4
570;1615;1;0;5
571;1416;0;1;4
571;1653;1;0;5
572;1417;0;1;4
572;1652;1;0;5
573;1456;0;1;4
573;1690;1;0;5
574;1457;0;1;4
574;1729;1;0;5
575;1497;0;1;4
575;1728;1;0;5
576;1498;0;1;4
576;1766;1;0;5
577;1538;0;1;4
577;1766;1;0;5
578;1538;0;1;4
578;1804;1;0;5
579;1539;0;1;4
579;1803;1;0;5
580;1579;0;1;4
580;1842;1;0;5
581;1580;0;1;4
581;1840;1;0;5
582;1581;0;1;4
582;1801;1;0;5
583;1582;0;1;4
583;1800;1;0;5
584;1584;0;1;4
584;1760;1;0;5
585;1624;0;1;4
585;1721;1;0;5
586;1626;0;1;4
586;1683;1;0;5
587;1626;0;1;4
587;1645;1;0;5
588;1627;0;1;4
588;1645;1;0;5
589;1628;0;1;4
589;1569;1;0;5
590;1629;0;1;4
590;1530;1;0;5
591;1630;0;1;4
591;1492;1;0;5
592;1631;0;1;4
592;1493;1;0;5
593;1632;0;1;4
593;1455;1;0;5
594;1633;0;1;4
594;1416;1;0;5
595;1634;0;1;4
595;1416;1;0;5
596;1636;0;1;4
596;1377;1;0;5
597;1637;0;1;4
597;1376;1;0;5
598;1375;1;0;5
599;1374;1;0;5
600;1334;1;0;5
601;1333;1;0;5
602;1293;1;0;5
603;1292;1;0;5
604;1213;1;0;5
605;1173;1;0;5
606;1134;1;0;5
607;1095;1;0;5
608;1056;1;0;5
609;1017;1;0;5
